,Negative,Neutral,Positive
1159,0.184,0.816,0
1160,0,1,0
1161,0,1,0
1162,0.254,0.746,0
1163,0,0.905,0.095
1164,0,0.215,0.785
1165,0.325,0.675,0
1166,0,0.549,0.451
1167,0.844,0.156,0
1168,0,0.954,0.046
1169,0,1,0
1170,0,1,0
1171,0,1,0
1172,0,1,0
1173,0,0.606,0.394
1174,0.216,0.784,0
1175,0,1,0
1176,0.189,0.663,0.148
1177,0,0.859,0.141
1178,0.118,0.882,0
1179,0.086,0.808,0.105
1180,0.027,0.936,0.036
1181,0.25,0.662,0.088
1182,0,1,0
1183,0,1,0
1184,0,0.486,0.514
1185,0,0.476,0.524
1186,0,0.663,0.337
1187,0,0.703,0.297
1188,0,1,0
1189,0.718,0.282,0
1190,0.024,0.633,0.342
1191,0,0.73,0.27
1192,0.103,0.492,0.405
1193,0,0.194,0.806
1194,0,0.328,0.672
1195,0,1,0
1196,0,0.58,0.42
1197,0,1,0
1198,0,0.256,0.744
1199,0,0.213,0.787
1200,0,1,0
1201,0,1,0
1202,0.061,0.807,0.132
1203,0,1,0
1204,0,0.8,0.2
1205,0,0.61,0.39
1206,0,1,0
1207,0,0.876,0.124
1208,0,1,0
1209,0,1,0
1210,0,1,0
1211,0,0.287,0.713
1212,0,0.583,0.417
1213,0,1,0
1214,0.207,0.793,0
1215,0,1,0
1216,0,0.743,0.257
1217,0,0.244,0.756
1218,0,0.753,0.247
1219,0.06,0.804,0.136
1220,0,0.582,0.418
1221,0,1,0
